source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
3334922503392101632,87.16981862383140,7.373431248385330,0.34235390583745300,0.8762219383589820,-1.4325891746338500,1.0119191,15.34536,1.0471182,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,7340.804,4.0561,-1.4913,1881.8717,1.4106,1.2052,0.656,J054840.7+072224,87.1697,7.3734,0.0,0.0,0.0,0.0,2000.0,1.21722288936726E-04
3334922400312888960,87.1662490481902,7.368012649826480,0.30607056950082300,0.7718671147350890,-1.4378050224038000,1.0139327,14.638834,0.7305374,,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,8944.994,4.0829,0.2434,2841.6921,1.4051,1.2676,0.6797,J054839.8+072205,87.1659,7.3681,0.0,0.0,0.0,0.0,2000.0,3.5701677317754E-04
3334922469030676480,87.16456327858320,7.368179801971500,0.28422674778999500,1.403455558581050,-1.0582829223804700,0.9615327,19.409214,1.4601307,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J054839.8+072205,87.1659,7.3681,0.0,0.0,0.0,0.0,2000.0,0.0013280833517930100
3334922469032365952,87.15705973012530,7.375705267340720,0.35250172355602000,0.9344226406916630,-1.491379414109810,0.97396123,15.368078,1.075881,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6935.5615,4.2596,-0.4614,1571.9907,1.3336,1.1293,0.6142,J054837.6+072233,87.1568,7.3759,0.0,0.0,0.0,0.0,2000.0,3.22906750978217E-04
3334922537751835904,87.18371332099830,7.375192303037420,0.5291403954791660,-1.3702474720283000,-1.553056793940640,1.0523379,15.500956,1.1566582,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,7131.586,4.3298,-1.1449,1376.535,1.601,1.3519,0.7401,J054844.0+072231,87.1834,7.3753,0.0,0.0,0.0,0.0,2000.0,3.28863232130882E-04
3334922537751836032,87.18283371724470,7.375440368115860,0.6179469004011090,6.517266712648410,-3.538720699562960,0.9462141,17.742819,1.5228367,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4265.3164,4.8903,-1.3864,684.5067,0.3868,0.2891,0.1557,J054844.0+072231,87.1834,7.3753,0.0,0.0,0.0,0.0,2000.0,5.78873948704972E-04
3334922434672621696,87.18380959340860,7.369488966406470,0.34612336281809500,1.0106070314962400,-1.5539661096603400,1.0237129,14.825592,1.1896191,-2.6122618,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,6722.8364,3.6263,-0.4317,2621.6433,1.5367,1.2842,0.6993,J054843.9+072208,87.183,7.369,0.0,0.0,0.0,0.0,2000.0,9.40078008131112E-04
3334922400312891136,87.17108763211880,7.358565987273350,0.40477488872815700,0.9057106418538360,-1.4995589497566900,0.93795896,15.325844,1.1112757,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6916.444,4.1739,-0.5645,1675.9886,1.4271,1.2042,0.6561,J054841.2+072134,87.1718,7.3595,0.0,0.0,0.0,0.0,2000.0,0.0011711200508625400
3334922606471312000,87.16983633203860,7.388801347830050,0.3836834975253810,0.9929156380431770,-1.7252214605612000,1.0759146,15.151051,0.6829519,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9138.182,4.1613,-0.9455,2824.247,1.3134,1.1914,0.64,J054840.7+072320,87.1697,7.389,0.0,0.0,0.0,0.0,2000.0,2.40295050223209E-04
3334922469032368512,87.15464805001500,7.371625048597380,0.3268832721848710,0.9698488902680380,-1.6726936437852400,1.0505176,14.855276,1.0261602,40.412334,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,6803.8706,4.0004,-0.8663,1801.6525,1.1798,1.0016,0.5468,J054836.9+072217,87.1539,7.3715,0.0,0.0,0.0,0.0,2000.0,7.52332589283459E-04
3334922469032368896,87.15381651427150,7.37123607358396,0.41267027053709800,1.0809502346759200,-1.5627897480338200,0.9931525,14.559902,0.5669422,,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,9498.597,3.9958,-1.1616,3029.7078,1.1454,1.0532,0.5653,J054836.9+072217,87.1539,7.3715,0.0,0.0,0.0,0.0,2000.0,2.76608549578741E-04
3334922537751833472,87.18625051859770,7.3797603881462100,0.33123526865063600,1.0318886418460900,-1.53574970320323,0.99651545,15.312831,1.1943369,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6780.335,4.0877,-0.4744,1647.1078,1.5476,1.2932,0.7051,J054844.6+072245,87.1859,7.3792,0.0,0.0,0.0,0.0,2000.0,6.59447718049885E-04
3334922400312894336,87.1595918876641,7.360054971436550,0.468627087771138,-0.5173144072501940,-1.1422871896201400,1.0154326,15.914126,1.1095924,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5935.109,4.4297,-0.7397,1170.7882,0.8668,0.7156,0.3907,J054838.5+072136,87.1605,7.3601,0.0,0.0,0.0,0.0,2000.0,9.01755031014346E-04
3334922228512498688,87.18954655354410,7.3623807470227,0.2843164654174140,1.0712403218532800,-0.4446628038898540,1.0185217,19.764353,1.5449123,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J054845.2+072146,87.1884,7.3628,0.0,0.0,0.0,0.0,2000.0,0.0012119282415254800
3334922537750133632,87.19101680891350,7.383892081877420,0.6196440453612750,2.5958595387388100,-3.2725081301547600,0.9110082,19.719715,1.8024235,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J054845.6+072259,87.1901,7.3831,0.0,0.0,0.0,0.0,2000.0,0.00120584035153
3334922537750134784,87.19021789209380,7.383199862732780,0.492346919974493,0.8144666035000400,-1.5035264265712800,1.0912361,18.924763,1.6258984,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3914.0862,4.8712,-1.8771,644.4147,0.0312,0.0227,0.0122,J054845.6+072259,87.1901,7.3831,0.0,0.0,0.0,0.0,2000.0,1.5375825445073E-04
3334922194153369600,87.17904919595500,7.352802668079390,-1.605794436980320,4.9331460367945200,-1.4741356955429800,1.1448,20.586742,1.5310993,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J054842.8+072108,87.1784,7.3523,0.0,0.0,0.0,0.0,2000.0,8.16840395618866E-04
3334922331593403904,87.19425703995450,7.37089928879587,0.4330180544834630,0.9331689449904380,-1.5184801586165600,1.0659844,16.539377,1.1938562,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5641.8115,4.6115,-1.0791,1077.3339,0.889,0.7235,0.3959,J054846.5+072217,87.1939,7.3715,0.0,0.0,0.0,0.0,2000.0,6.97304224104978E-04
3334923362386255360,87.16198698109130,7.397841533086890,-0.5148211386593840,2.9453114076049200,-2.465225947672000,2.9666252,18.155174,1.2932072,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,J054838.7+072348,87.1614,7.3967,0.0,0.0,0.0,0.0,2000.0,0.001281379465239930
3334920987267356544,87.1483727842292,7.361610278049310,0.6029787570614000,1.1887787985687100,-3.7442285265127100,1.1002913,13.261698,0.47512913,,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,J054835.5+072141,87.148,7.3615,0.0,0.0,0.0,0.0,2000.0,3.85808039709849E-04
3334920922844147712,87.16258750447050,7.34834350214822,0.33167301277569900,0.9762976514928360,-1.3950204353791200,1.0086831,15.819747,1.0766811,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6955.289,4.1113,-0.7288,2170.4177,1.3456,1.1402,0.6217,J054838.8+072057,87.1618,7.3492,0.0,0.0,0.0,0.0,2000.0,0.0011591400110885600
3334920918549038848,87.15820974362430,7.346923882925430,0.25540126003803500,-0.41238176625279100,1.6084600372315600,1.1277463,18.915325,2.1027164,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3438.2021,4.6223,-1.1375,479.9805,0.361,0.2461,0.1376,J054837.9+072051,87.158,7.3476,0.0,0.0,0.0,0.0,2000.0,7.0739468118056E-04
3334922572111566208,87.19366078180440,7.391977042619230,0.36030271355517600,0.8560043878995620,-1.3778311144485800,1.0226747,15.804067,1.1778002,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6655.0176,4.2123,-0.8032,1634.9108,1.4402,1.202,0.658,J054846.4+072331,87.1934,7.392,0.0,0.0,0.0,0.0,2000.0,2.596314604214E-04
3334922640831043200,87.18343897017010,7.40051185346428,0.39551474546964200,0.9483661192764950,-1.5254764390150000,1.0880023,14.546152,1.0527315,-4.7873893,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,6614.4023,3.9057,-0.5299,1598.667,1.1442,0.9649,0.5251,J054844.0+072402,87.1834,7.4006,0.0,0.0,0.0,0.0,2000.0,9.62459865264692E-05
3334923392449138560,87.17250518119,7.404059040628830,0.3573090049920430,2.003840050825940,-0.26648399464400700,0.9771553,15.879902,1.0757856,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,7104.502,4.3472,-1.2834,1697.8083,1.3991,1.1893,0.6508,J054841.2+072414,87.1718,7.404,0.0,0.0,0.0,0.0,2000.0,7.01789376797438E-04
3334923224946615808,87.13976629111650,7.37485435265048,0.4005992378208810,1.0423238412809700,-1.4656967261155400,1.3187915,15.145924,1.0262384,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6826.446,4.1439,-0.6863,1586.5317,1.1765,0.9989,0.5443,J054833.4+072229,87.1393,7.3748,0.0,0.0,0.0,0.0,2000.0,4.65617036709883E-04
3334922194154608512,87.18070488829030,7.345326209521680,0.36478277504655600,0.9775505228917560,-1.5180339716697700,1.0310626,16.04301,1.1392803,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6543.1924,4.2993,-0.8326,1630.4713,1.2767,1.0669,0.5838,J054843.3+072043,87.1805,7.3453,0.0,0.0,0.0,0.0,2000.0,2.04890177101175E-04
3334922365953297152,87.20442510678020,7.374153819808440,0.36359313203066400,1.3340637742685000,2.2416725558090700,1.1482558,16.231813,1.2516117,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,7597.927,4.2402,-1.1396,2027.0702,2.0431,1.7257,0.9429,J054849.0+072226,87.2043,7.374,0.0,0.0,0.0,0.0,2000.0,1.97621887626113E-04
3334923293666091648,87.1348046182207,7.382557720409920,0.3702848674545070,1.1554424337481100,-1.5067401108231600,1.0454968,14.805425,1.0830946,,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,6349.024,3.7873,-0.4033,2037.1428,1.0587,0.885,0.4817,J054832.4+072258,87.1351,7.3828,0.0,0.0,0.0,0.0,2000.0,3.80143642833906E-04
