source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
4064498423184757376,269.9831256440920,-24.66813828644820,0.38755776314357600,0.29856477363902600,-1.208281652259170,0.8768881,12.998047,0.8985119,,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,J175956.1-244004,269.9839,-24.6678,0.0,0.0,0.0,0.0,2000.0,7.80779466962839E-04
4064498427508899712,269.98541473390700,-24.667846611737500,1.3789123474305200,1.0485645552990700,-1.3693196494910100,0.867367,19.151333,1.427803,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J175956.1-244004,269.9839,-24.6678,0.0,0.0,0.0,0.0,2000.0,0.001377292353346440
4064498427508900224,269.98490058125,-24.66812876658830,-0.04060718773611030,-0.32628515120518400,-2.7417716537786100,1.0952601,,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J175956.1-244004,269.9839,-24.6678,0.0,0.0,0.0,0.0,2000.0,9.66881165660324E-04
4064498427510085504,269.9838203434670,-24.668062965874200,0.3766587716317130,0.1618159656440640,-1.6428237451312000,1.1930447,17.759983,0.96044254,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,J175956.1-244004,269.9839,-24.6678,0.0,0.0,0.0,0.0,2000.0,2.72747066169546E-04
4064498393149172480,269.97707778738600,-24.66947511820550,,,,,,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J175954.5-244007,269.9772,-24.6687,0.0,0.0,0.0,0.0,2000.0,7.83034013618555E-04
4064498393157569408,269.9771414835320,-24.6686427891901,0.8373819781467380,0.28194220473228700,-1.9870296634633200,0.98552406,14.34358,0.9503517,19.272572,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,6338.294,4.1679,-0.3073,1093.1213,0.7373,0.6228,0.3379,J175954.5-244007,269.9772,-24.6687,0.0,0.0,0.0,0.0,2000.0,7.81074215111782E-05
4064498491904236800,269.977305657181,-24.658922379341400,0.31665097295869200,-0.5543324969757120,-1.912857208813350,0.9988675,14.008568,2.275094,16.44228,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,5079.8325,2.637,0.1699,2659.469,3.2508,2.3562,1.2657,J175954.2-243933,269.9759,-24.6592,0.0,0.0,0.0,0.0,2000.0,0.0013072887501610100
4064498496228401920,269.9759995821800,-24.66021622295160,,,,,20.378065,2.415203,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J175954.2-243933,269.9759,-24.6592,0.0,0.0,0.0,0.0,2000.0,0.0010202447851000000
4064498496228404992,269.97519981691800,-24.660010990984400,0.5374512261802340,0.5487481600937290,-1.4108951665744900,1.0566028,18.837626,1.8509426,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3792.8333,4.9509,-1.1952,658.2619,0.1765,0.126,0.0678,J175954.2-243933,269.9759,-24.6592,0.0,0.0,0.0,0.0,2000.0,0.001030834575435660
4064498496236786816,269.9766883186770,-24.659370475850900,0.2222075473043030,-0.06053630560857010,-0.8185089745530840,1.6918653,15.892429,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J175954.2-243933,269.9759,-24.6592,0.0,0.0,0.0,0.0,2000.0,7.36431193997283E-04
4064498496236787456,269.9761131410370,-24.658877579953200,0.73506204224596,4.15094025625848,-3.3630516767853200,0.9723999,15.085251,1.4194403,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6565.7573,4.0101,-0.1953,1388.084,1.8614,1.5159,0.8233,J175954.2-243933,269.9759,-24.6592,0.0,0.0,0.0,0.0,2000.0,3.76132856293733E-04
4064498491904237568,269.9804815685350,-24.65257068659810,0.40921965429350900,0.1737297857037170,-1.310885995557670,0.9787719,13.714426,1.01054,,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,J175955.1-243911,269.9797,-24.6531,0.0,0.0,0.0,0.0,2000.0,8.85856307700483E-04
4064498530588107904,269.9981524120360,-24.660709419371800,1.1279881822393200,-0.49090049196475100,0.15692249092497600,1.0526432,20.37104,1.1741219,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J175959.4-243939,269.9976,-24.6609,0.0,0.0,0.0,0.0,2000.0,5.36985788165494E-04
4064498530588108032,269.99769679186400,-24.660922006305600,,,,,20.878344,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J175959.4-243939,269.9976,-24.6609,0.0,0.0,0.0,0.0,2000.0,9.06747091446393E-05
4064498530589866112,269.99666258743900,-24.660641400807000,,,,,20.605927,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J175959.4-243939,269.9976,-24.6609,0.0,0.0,0.0,0.0,2000.0,8.90299202575206E-04
4064498530596520064,269.99742526876800,-24.661632225018400,0.34305822899975400,0.4934840498133120,-1.0753884912426300,1.5358102,12.928237,1.0632629,,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,J175959.4-243939,269.9976,-24.6609,0.0,0.0,0.0,0.0,2000.0,7.49245644936673E-04
4064498221358871040,269.9978508582510,-24.670686290232200,0.47128357264881700,0.24957240091610400,-0.8953217150395140,2.090447,14.786576,1.1625547,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7982.7065,3.8849,-1.4667,1834.3073,2.0186,1.7339,0.9421,J175959.2-244013,269.9968,-24.6703,0.0,0.0,0.0,0.0,2000.0,0.001030111289182190
4064498221358871168,269.9971128903550,-24.671026094103700,0.3770473343626090,0.22857107811720800,-1.178286336419350,0.9055153,14.3303385,1.0063019,,NOT_AVAILABLE,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,J175959.2-244013,269.9968,-24.6703,0.0,0.0,0.0,0.0,2000.0,7.79779711332841E-04
4064498221358872064,269.9958260596710,-24.670116781442200,-0.3569461851357430,0.8152632984552200,-3.300636910128780,0.9992451,20.002535,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,J175959.2-244013,269.9968,-24.6703,0.0,0.0,0.0,0.0,2000.0,9.0380991303737E-04
4064498221360924416,269.99603577355300,-24.669543543468400,0.3173333161667990,-0.2235148124210080,-0.40076995809226,3.5500653,15.474554,1.289773,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,J175959.2-244013,269.9968,-24.6703,0.0,0.0,0.0,0.0,2000.0,0.0010268982240814800
