objid,specObjID,distance_arcmin,IAUName,ra,dec,band,fuv_mag,nuv_mag,fuv_flux,nuv_flux,e_bv,isThereSpectrum,fuv_fwhm_world,nuv_fwhm_world
6381048908336858473,0,0.0330221531543787,GALEX J054840.7+072224,87.1697273366383,7.37352064048036,1,-999,20.77288,-999,17.81747,0.6487584,FALSE,-99,0.00311643
6381048908336858502,0,0.305562757923842,GALEX J054840.6+072244,87.1693579918211,7.37905275584796,1,-999,21.39897,-999,10.00944,0.6487584,FALSE,-99,0.00301771
6381048908336858427,0,0.419092149353438,GALEX J054839.8+072205,87.1660647084014,7.36820717849692,1,-999,19.0657,-999,85.84608,0.5769679,FALSE,-99,0.002757409
6381048908336858488,0,0.570503378665951,GALEX J054838.7+072241,87.1613518403123,7.37810505610131,1,-999,20.77153,-999,17.83974,0.6487584,FALSE,-99,0.003401581
6381048908336858469,0,0.582570591357971,GALEX J054843.0+072218,87.1795226680078,7.37174463407988,1,-999,21.98648,-999,5.82649,0.6487584,FALSE,-99,0.00265868
6381048908336858543,0,0.788706152257796,GALEX J054840.0+072312,87.1668945655693,7.38677924601557,1,-999,21.51243,-999,9.016312,0.5906521,FALSE,-99,0.002591696
6381048908336858477,0,0.788776416324759,GALEX J054837.6+072233,87.1568894656127,7.37594178997378,1,-999,20.73749,-999,18.40786,0.5906521,FALSE,-99,0.004190164
6381048908336858465,0,0.807358127182184,GALEX J054844.0+072231,87.1835001982826,7.37534554983355,1,-999,20.02985,-999,35.32322,0.6487584,FALSE,-99,0.004348487
6381048908336858419,0,0.841748911273496,GALEX J054843.9+072208,87.1832707884441,7.36914177683237,1,-999,20.2672,-999,28.38709,0.6487584,FALSE,-99,0.004969008
6381048908336858408,0,0.867020063764953,GALEX J054841.2+072134,87.1719840789946,7.35968426337654,1,-999,21.11232,-999,13.03376,0.5769679,FALSE,-99,0.003163621
6381048908336858504,0,0.897148567377171,GALEX J054840.7+072320,87.1698010897708,7.38895117486975,1,-999,19.34246,-999,66.52991,0.5906521,FALSE,-99,0.005284342
6381048908338955584,0,0.975186858842414,GALEX J054836.9+072217,87.1538166835731,7.37143549837035,3,19.59511,18.29811,52.71783,174.0829,0.5769679,FALSE,0.003120839,0.002130226
6381048908336858491,0,1.00129991337999,GALEX J054844.6+072245,87.185986758586,7.37920931232893,1,-999,20.76507,-999,17.94617,0.6487584,FALSE,-99,0.004254838
6381048908336858393,0,1.00257002384645,GALEX J054838.5+072136,87.1604367660534,7.36024297726648,1,-999,19.89086,-999,40.14723,0.5769679,FALSE,-99,0.005807827
6381048908336858544,0,1.13786586633327,GALEX J054844.1+072312,87.1841137626196,7.38679602785989,1,-999,21.43035,-999,9.724312,0.6487584,FALSE,-99,0.00212029
6381048908337909754,0,1.15449899224266,GALEX J054840.4+072117,87.1686026396473,7.35480832067664,2,20.56754,-999,21.52703,-999,0.5769679,FALSE,0.002684038,-99
6381048908336858416,0,1.28682800109856,GALEX J054844.7+072135,87.186250798199,7.3598496286139,1,-999,21.38309,-999,10.15698,0.6487584,FALSE,-99,0.002208424
6381048908337909759,0,1.29182388389682,GALEX J054845.2+072146,87.1885374568832,7.36279407396009,2,20.82135,-999,17.03973,-999,0.6487584,FALSE,0.001522095,-99
6381048908336858524,0,1.31689910965477,GALEX J054845.6+072259,87.1901191824405,7.38314457258634,1,-999,21.65083,-999,7.937238,0.6487584,FALSE,-99,0.002101276
6381048908336858569,0,1.36194356967758,GALEX J054837.7+072334,87.1573117699656,7.39289218950457,1,-999,21.78437,-999,7.018595,0.5906521,FALSE,-99,0.002067238
6381048908337909752,0,1.39533855184743,GALEX J054842.8+072108,87.1784410624013,7.35230337258408,2,21.15083,-999,12.57967,-999,0.5769679,FALSE,0.0003555826,-99
6381048908336858464,0,1.44190342359207,GALEX J054846.5+072217,87.1941025714816,7.37151885573774,1,-999,21.54397,-999,8.758167,0.6487584,FALSE,-99,0.002733273
6381048908336858594,0,1.46063983918558,GALEX J054838.7+072348,87.1616185046509,7.39688102939458,1,-999,21.41775,-999,9.837859,0.5906521,FALSE,-99,0.002336264
6381048908336858593,0,1.49268045521723,GALEX J054843.2+072348,87.1800399966266,7.39679866886206,1,-999,20.59506,-999,20.98824,0.5906521,FALSE,-99,0.003014166
6381048908338955503,0,1.49806295591756,GALEX J054835.5+072141,87.1481297500444,7.36163291304775,3,17.30576,16.66215,434.2093,785.4861,0.5769679,FALSE,0.001551089,0.001811732
6381048908336858268,0,1.56117081435867,GALEX J054838.8+072057,87.1620556079547,7.34920205877493,1,-999,18.08153,-999,212.5133,0.5769679,FALSE,-99,0.0129784
6381048908337909757,0,1.66060484927194,GALEX J054846.5+072136,87.1940799832002,7.36001106475199,2,21.1322,-999,12.79735,-999,0.7022197,FALSE,0.001302675,-99
6381048908337909747,0,1.7330473484513,GALEX J054837.9+072051,87.1581694347196,7.34760629620193,2,19.92114,-999,39.04323,-999,0.5769679,FALSE,0.002979393,-99
6381048908336858558,0,1.77624193678978,GALEX J054846.4+072331,87.1936640277309,7.3920460358104,1,-999,21.30145,-999,10.95019,0.6487584,FALSE,-99,0.00294277
6381048908336858582,0,1.79592075007774,GALEX J054844.0+072402,87.1834226002894,7.40080928422141,1,-999,19.35331,-999,65.86819,0.5906521,FALSE,-99,0.00348978
6381048908336858611,0,1.80415178663518,GALEX J054841.2+072414,87.1717489730017,7.40401913157631,1,-999,20.97323,-999,14.81517,0.5906521,FALSE,-99,0.002698547
6381048908336858460,0,1.81306469097459,GALEX J054833.4+072229,87.1395434604217,7.37489057365988,1,-999,20.14041,-999,31.90331,0.5347404,FALSE,-99,0.003676145
6381048908336858352,0,1.83090989670307,GALEX J054843.3+072043,87.1806109249048,7.34535683177132,1,-999,20.40438,-999,25.01765,0.6509349,FALSE,-99,0.004607538
6381048908336858475,0,2.05431449251478,GALEX J054849.0+072226,87.2045240590033,7.37405801497493,1,-999,21.86353,-999,6.525115,0.7022197,FALSE,-99,0.001059067
6381048908338955675,0,2.15201726045015,GALEX J054832.4+072258,87.1349938616103,7.38301217128879,3,20.54121,21.16306,22.05555,12.43871,0.5347404,FALSE,0.002145685,0.003180952
6381048908336858125,0,2.16770230705312,GALEX J054844.2+072027,87.184479493973,7.34084820280883,1,-999,19.57833,-999,53.53874,0.6509349,FALSE,-99,0.007823355
6381048908336857785,0,2.17094986118056,GALEX J054835.1+072047,87.1462375133368,7.34654486731357,1,-999,17.01316,-999,568.5051,0.5769679,FALSE,-99,0.02707778
6381048908336858381,0,2.1890984084401,GALEX J054848.0+072111,87.200124574404,7.35305794100698,1,-999,21.58129,-999,8.462245,0.7022197,FALSE,-99,0.002727446
6381048908336858615,0,2.26625528801505,GALEX J054835.1+072413,87.1463613884381,7.40361587382085,1,-999,21.60841,-999,8.253448,0.5906521,FALSE,-99,0.002670948
6381048908336858374,0,2.33419648252876,GALEX J054832.9+072109,87.1372689079478,7.35255852383839,1,-999,20.85103,-999,16.58016,0.5769679,FALSE,-99,0.003680775
6381048908336858586,0,2.37839497329075,GALEX J054832.7+072344,87.1365495673923,7.39569970518261,1,-999,21.46008,-999,9.461636,0.5906521,FALSE,-99,0.002567613
6381048908337909737,0,2.4620120672738,GALEX J054838.4+072002,87.1601394551394,7.33414885638019,2,19.81567,-999,43.02642,-999,0.6509349,FALSE,0.002890701,-99
6381048908336858305,0,2.54856572274812,GALEX J054841.6+071953,87.1733984245109,7.33165783954654,1,-999,20.66961,-999,19.59547,0.6509349,FALSE,-99,0.003657108
6381048908336858618,0,2.56109369051984,GALEX J054847.8+072419,87.1991795651429,7.40537894515012,1,-999,21.49257,-999,9.182751,0.7197362,FALSE,-99,0.002183379
6381048908336858662,0,2.56244013698463,GALEX J054844.2+072451,87.1844741338825,7.41422295033909,1,-999,21.36094,-999,10.36625,0.6400076,FALSE,-99,0.002347675
6381048908336858578,0,2.59638806457353,GALEX J054833.1+072413,87.1383026087327,7.40373981222806,1,-999,20.88733,-999,16.03499,0.5353418,FALSE,-99,0.003245105
6381048908336858457,0,2.60324902505181,GALEX J054851.2+072210,87.2135173327292,7.3695399733203,1,-999,22.40202,-999,3.97367,0.7022197,FALSE,-99,0.002097163
6381048908337909742,0,2.6746435837275,GALEX J054834.2+072018,87.1427114522772,7.33857843611934,2,20.45033,-999,23.9811,-999,0.5769679,FALSE,0.001175961,-99
6381048908336858271,0,2.67742742620407,GALEX J054835.7+072004,87.1487552844685,7.33466375631243,1,-999,18.79979,-999,109.6685,0.5769679,FALSE,-99,0.005690429
6381048908337909803,0,2.77425111642033,GALEX J054835.2+072450,87.1468704292097,7.41414712116351,2,20.74613,-999,18.2621,-999,0.5353418,FALSE,0.002285444,-99
6381048908337909741,0,2.77900719074112,GALEX J054848.0+072019,87.2001671928552,7.33864317809453,2,20.67235,-999,19.54627,-999,0.6509349,FALSE,0.002176517,-99
6381048908336858426,0,2.82242355010873,GALEX J054829.4+072228,87.1225706596754,7.37456106255389,1,-999,20.10287,-999,33.02571,0.5347404,FALSE,-99,0.003471589
6381048908337909739,0,2.93549051483451,GALEX J054833.9+072002,87.1414013820103,7.33413573630942,2,20.86935,-999,16.30282,-999,0.5769679,FALSE,0.001744899,-99
6381048908336858285,0,2.97687354999674,GALEX J054846.4+071949,87.193665599589,7.33028827107235,1,-999,19.70947,-999,47.44756,0.6509349,FALSE,-99,0.002866876
6381048908336858286,0,2.97780579077806,GALEX J054844.4+071936,87.1851000621995,7.32668333665093,1,-999,21.57688,-999,8.496647,0.6509349,FALSE,-99,0.002982687
6381048908336858585,0,3.0358948028511,GALEX J054830.1+072357,87.125789764073,7.39925754972989,1,-999,19.98338,-999,36.86773,0.5353418,FALSE,-99,0.00288738
6381048908336858692,0,3.06457207501368,GALEX J054839.0+072528,87.1627230617644,7.42456384827544,1,-999,20.78547,-999,17.61217,0.5353418,FALSE,-99,0.00427283
6381048908336858653,0,3.06875759197568,GALEX J054849.5+072436,87.2064213995387,7.410212552305,1,-999,21.64847,-999,7.95446,0.7197362,FALSE,-99,0.00262919
6381048908336858500,0,3.07097736717235,GALEX J054828.4+072245,87.1186590524843,7.37922040803262,1,-999,21.49704,-999,9.144986,0.5347404,FALSE,-99,0.003138734
6381048908336858492,0,3.23964111127972,GALEX J054827.7+072236,87.1156337159561,7.37689276749745,1,-999,21.19798,-999,12.04508,0.5347404,FALSE,-99,0.003102466
6381048908337909807,0,3.25045941304168,GALEX J054845.9+072525,87.1916436376244,7.42374111676706,2,20.34776,-999,26.35699,-999,0.6400076,FALSE,0.002913221,-99
