objid,specObjID,distance_arcmin,IAUName,ra,dec,band,fuv_mag,nuv_mag,fuv_flux,nuv_flux,e_bv,isThereSpectrum,fuv_fwhm_world,nuv_fwhm_world
6380098884119561668,0,3.81368165035043,GALEX J194913.6+211142,297.306887489055,21.195158070106,1,-999,21.84371,-999,6.645288,1.061001,FALSE,-99,0.002669269
6380098884119561712,0,3.98738738281847,GALEX J194914.2+211217,297.309500517696,21.2049635958298,1,-999,22.01111,-999,5.695803,1.061001,FALSE,-99,0.001267058
6380098884119561660,0,4.02536843696456,GALEX J194912.4+211136,297.301884857057,21.1934651205331,1,-999,21.71713,-999,7.467031,1.061001,FALSE,-99,0.001746289
6380098884119561514,0,4.10195747228443,GALEX J194911.2+210901,297.296898109132,21.1503541135405,1,-999,21.72726,-999,7.397669,0.9838452,FALSE,-99,0.001388385
6380098884119561731,0,4.17112116931565,GALEX J194914.2+211235,297.309329109672,21.2098982617293,1,-999,22.02659,-999,5.615201,1.061001,FALSE,-99,0.002537059
6380098884119561686,0,4.56067452415602,GALEX J194913.8+211305,297.307755137972,21.2182111397011,1,-999,18.03073,-999,222.6946,1.061001,FALSE,-99,0.01193282
6380098884119561661,0,4.68258569496734,GALEX J194909.8+211151,297.291081087123,21.1977684351358,1,-999,20.27218,-999,28.25711,1.061001,FALSE,-99,0.005765605
6380098884119561743,0,4.70575975475148,GALEX J194912.2+211252,297.30119295699,21.2146566677383,1,-999,20.98879,-999,14.60438,1.061001,FALSE,-99,0.003769195
6380098884119561508,0,4.80626967615997,GALEX J194908.2+210857,297.284251828913,21.1492032678562,1,-999,22.25977,-999,4.529926,1.058166,FALSE,-99,0.0009778894
6380098884119561705,0,4.89174453415388,GALEX J194910.1+211228,297.292324664295,21.207844680398,1,-999,19.56873,-999,54.01422,1.061001,FALSE,-99,0.003141691
6380098884119561766,0,4.9337848353964,GALEX J194913.3+211331,297.305785712582,21.2252847167136,1,-999,19.98271,-999,36.89053,1.061001,FALSE,-99,0.004323254
6380098884119561462,0,4.94408792403167,GALEX J194908.2+210825,297.284339278193,21.1404977399382,1,-999,20.61735,-999,20.56171,0.9989132,FALSE,-99,0.004756468
6380098884119561579,0,5.07791270059164,GALEX J194906.6+211036,297.277844000058,21.1767309822975,1,-999,19.23643,-999,73.35439,0.9838452,FALSE,-99,0.003757644
6380098884119561803,0,5.17629014737809,GALEX J194914.2+211401,297.309236427718,21.2336423718718,1,-999,19.84408,-999,41.9147,1.021205,FALSE,-99,0.003182407
6380098884119561436,0,5.2754555368765,GALEX J194907.9+210743,297.283175658935,21.1286330670153,1,-999,20.52074,-999,22.47527,0.9989132,FALSE,-99,0.004236232
6380098884119561746,0,5.28607759771695,GALEX J194909.0+211249,297.287862258457,21.2136784558305,1,-999,21.51997,-999,8.953894,1.061001,FALSE,-99,0.002750714
6380098884119561394,0,5.30873723282847,GALEX J194908.5+210723,297.285509293821,21.123304575913,1,-999,20.27245,-999,28.25016,0.9989132,FALSE,-99,0.005356066
6380098884119561833,0,5.43111749974332,GALEX J194913.0+211406,297.304210563479,21.2352400778153,1,-999,21.38698,-999,10.12064,1.113272,FALSE,-99,0.001756065
