objid,specObjID,distance_arcmin,IAUName,ra,dec,band,fuv_mag,nuv_mag,fuv_flux,nuv_flux,e_bv,isThereSpectrum,fuv_fwhm_world,nuv_fwhm_world
6381717419996483349,0,0.13087949096639,GALEX J072837.9-152146,112.157910436239,-15.3628318385349,1,-999,21.08601,-999,13.35348,0.7786382,FALSE,-99,0.003975824
6381717419996483364,0,0.239374683151393,GALEX J072836.4-152153,112.151950400289,-15.3648177658709,1,-999,22.06866,-999,5.401749,0.7786382,FALSE,-99,0.002241783
6381717408185319655,0,0.358561971000732,GALEX J072836.5-152133,112.152108666913,-15.3593488536019,1,-999,21.72205,-999,7.433269,0.7786382,FALSE,-99,0.004000169
6381717419996483411,0,0.661280798891608,GALEX J072836.4-152113,112.151750671733,-15.3537686740732,1,-999,22.12639,-999,5.122026,0.7556047,FALSE,-99,0.002076789
6381717419996483421,0,0.712506958743317,GALEX J072837.8-152108,112.157693257466,-15.3522376713025,1,-999,21.82299,-999,6.773376,0.7786382,FALSE,-99,0.002834749
6381717419996483324,0,0.790658925498862,GALEX J072834.9-152220,112.145525143141,-15.3724637062852,1,-999,22.01266,-999,5.687699,0.7661068,FALSE,-99,0.001082562
6381717419996483308,0,0.882694647261677,GALEX J072841.0-152145,112.171203229162,-15.3627684739195,1,-999,17.61938,-999,325.2713,0.7786382,FALSE,-99,0.001974969
6381717408185319682,0,0.893118148927907,GALEX J072841.1-152145,112.171378249471,-15.3627032243246,1,-999,17.6969,-999,302.8577,0.7786382,FALSE,-99,0.002118604
6381717419996483216,0,0.924779974995355,GALEX J072838.9-152241,112.162366253166,-15.3781378579283,1,-999,18.85604,-999,104.1324,0.7661068,FALSE,-99,0.007253409
6381717408185319569,0,0.929374644947168,GALEX J072838.9-152241,112.162429239427,-15.3781949348787,1,-999,19.02625,-999,89.02282,0.7661068,FALSE,-99,0.005705835
6381717408185319603,0,1.03985461718946,GALEX J072834.8-152239,112.145077634329,-15.3777638754966,1,-999,20.61834,-999,20.54302,0.7661068,FALSE,-99,0.003655923
6381717419996483388,0,1.0422166264517,GALEX J072833.2-152134,112.138570624131,-15.3596110809722,1,-999,21.80504,-999,6.886234,0.7556047,FALSE,-99,0.002772677
6381717408185319671,0,1.05234304011037,GALEX J072839.8-152057,112.165860587733,-15.3492620822374,1,-999,22.10518,-999,5.223067,0.7786382,FALSE,-99,0.002215997
6381717419996483264,0,1.06159803423754,GALEX J072834.7-152241,112.144865360602,-15.3780635597099,1,-999,20.78934,-999,17.54949,0.7661068,FALSE,-99,0.004699086
6381717408185319642,0,1.06910915306842,GALEX J072833.1-152137,112.137919696307,-15.3603198568573,1,-999,21.90214,-999,6.297145,0.7556047,FALSE,-99,0.002413743
6381717408185319670,0,1.28025938395548,GALEX J072833.4-152059,112.139406226091,-15.3498842514069,1,-999,21.82406,-999,6.7667,0.7556047,FALSE,-99,0.002197437
6381717419996483424,0,1.28771690860157,GALEX J072833.5-152057,112.139808430062,-15.3492746865624,1,-999,21.10723,-999,13.09508,0.7556047,FALSE,-99,0.003919297
6381717419996483195,0,1.45871067352077,GALEX J072833.1-152252,112.138289218283,-15.3813042639074,1,-999,18.69307,-999,120.9966,0.7661068,FALSE,-99,0.005252142
6381717408185319605,0,1.47195194244255,GALEX J072833.1-152252,112.13798964391,-15.3813282381394,1,-999,18.71664,-999,118.3973,0.7661068,FALSE,-99,0.003576583
6381717419996483363,0,1.4886150912625,GALEX J072831.2-152153,112.130288366195,-15.3649331247665,1,-999,21.53487,-999,8.831846,0.753608,FALSE,-99,0.003069141
6381717408185319636,0,1.51107509429113,GALEX J072831.1-152153,112.129901612177,-15.3649770173979,1,-999,20.66577,-999,19.66486,0.753608,FALSE,-99,0.002861458
