objid,specObjID,distance_arcmin,IAUName,ra,dec,band,fuv_mag,nuv_mag,fuv_flux,nuv_flux,e_bv,isThereSpectrum,fuv_fwhm_world,nuv_fwhm_world
6386819155023102077,0,0.231108692768018,GALEX J133652.5-620529,204.218856307417,-62.0915539355326,1,-999,18.13691,-999,201.9467,5.140262,FALSE,-99,0.009377805
6386819155023102151,0,0.250484270784678,GALEX J133656.6-620528,204.235911839985,-62.0911683716883,1,-999,19.87777,-999,40.6342,5.140262,FALSE,-99,0.005282828
6386819155023102167,0,0.411845974672661,GALEX J133655.4-620503,204.231226739796,-62.0844272584312,1,-999,19.32999,-999,67.29813,5.140262,FALSE,-99,0.006872835
6386819155023102131,0,0.494455461536014,GALEX J133650.2-620528,204.209406511345,-62.0913145938626,1,-999,18.45786,-999,150.264,5.140262,FALSE,-99,0.008480707
6386819155023102084,0,0.621502300885729,GALEX J133657.3-620559,204.238822842575,-62.0997567478133,1,-999,18.45621,-999,150.4931,5.140262,FALSE,-99,0.008208089
6386819155023102161,0,0.659683761324026,GALEX J133650.4-620459,204.21038378706,-62.0832296303733,1,-999,20.61589,-999,20.58936,5.140262,FALSE,-99,0.003552942
6386819155023102157,0,0.748390758870075,GALEX J133648.5-620511,204.202148258523,-62.0865000823987,1,-999,20.70693,-999,18.9334,5.140262,FALSE,-99,0.002326667
6386819155023102144,0,0.761787520027762,GALEX J133700.9-620532,204.25394838896,-62.0924499490996,1,-999,20.99858,-999,14.47335,5.786418,FALSE,-99,0.003290955
6386819155023102162,0,0.794805764086923,GALEX J133701.0-620514,204.254216410969,-62.0873707547049,1,-999,20.01432,-999,35.83202,5.786418,FALSE,-99,0.005451937
6386819155023102129,0,0.960503428312218,GALEX J133646.9-620550,204.195586671259,-62.0973338789983,1,-999,20.13819,-999,31.9686,5.140262,FALSE,-99,0.004819679
6386819155023102114,0,1.0157360448476,GALEX J133702.6-620548,204.261029868666,-62.096738083239,1,-999,19.24462,-999,72.80359,5.786418,FALSE,-99,0.006829859
6386819155023102153,0,1.03688314548158,GALEX J133703.3-620522,204.263807432306,-62.0896527042361,1,-999,19.21126,-999,75.07526,5.786418,FALSE,-99,0.006304678
6386819155023102095,0,1.0555161504111,GALEX J133652.5-620629,204.219076116362,-62.1081967410947,1,-999,19.86341,-999,41.17508,5.140262,FALSE,-99,0.005090878
6386819155023102021,0,1.06237069035587,GALEX J133700.0-620617,204.250236686168,-62.104973830095,1,-999,18.29134,-999,175.1713,5.786418,FALSE,-99,0.006352789
